Date,Location,Site,Side,Main_Microbe_Color,Main_Percent_Cover,Microbe_2_Color,Percent_Coverage_2,Microbe_3_Color,Percent_Coverage_3,Microbe_4_Color,Percent_Coverage_4,Mold_Present
10/13/22,thompson_farm,B,R,black,45,light_yellow,20,Green,1,na,na,N
10/13/22,thompson_farm,A,L,light_yellow,20,brown,5,na,na,na,na,N
8/9/22,upper_mill_pond,A,L,black,10,light_yellow,15,orange,1,na,na,N
8/9/22,upper_mill_pond,B,R,light_yellow,85,yellow,5,na,na,na,na,N
7/12/22,upper_mill_pond,A,L,black,7,light_yellow,15,yellow,5,na,na,N
7/12/23,upper_mill_pond,B,R,light_yellow,90,light red,5,na,na,na,na,N
6/10/22,upper_mill_pond,B,na,light_yellow,40,orange,2,yellow,1,na,na,N
6/10/22,upper_mill_pond,A,na,light_yellow,20,dark_yellow,5,orange,1,na,na,N
5/12/22,upper_mill_pond,B,na,light_yellow,30,orange,20,black,7,na,na,N
5/12/22,upper_mill_pond,A,na,light_yellow,20,yellow,15,orange,1,light red,1,N
11/11/22,upper_mill_pond,B,L,light_yellow,40,dark_yellow,5,na,na,na,na,N
11/11/22,upper_mill_pond,A,R,light_yellow,40,yellow,1,na,na,na,na,N
10/16/22,upper_mill_pond,A,L,light_yellow,6,black,4,brown ,6,na,na,N
10/16/22,upper_mill_pond,B,R,light_yellow,20,na,na,na,na,na,na,N
9/10/22,thompson_farm,A,R,light_yellow,40,yellow,30,na,na,na,na,N
9/10/22,thompson_farm,B,L,light_yellow,25,black,25,na,na,na,na,N
9/17/22,laroche_pond,A,L,pink,90,black,5,light_yellow,5,na,na,N
9/17/22,laroche_pond,B,R,black,15,light_yellow,10,yellow,5,na,na,N
9/7/22,durham_reservoir,A,R,pink,35,black,15,light_yellow,15,na,na,Y
9/7/22,durham_reservoir,B,L,light_yellow,25,yellow,10,na,na,na,na,N
9/3/22,mill_pond,B,L,light_yellow,50,orange,1,na,na,na,na,N
9/3/22,mill_pond,A,R,light_yellow,60,dark_yellow,5,Green,5,na,na,N
9/17/22,upper_mill_pond,A,L,light_yellow,15,yellow,10,na,na,na,na,N
9/17/22,upper_mill_pond,B,R,light_yellow,30,na,na,na,na,na,na,N
